X2,X3,X4,X5,X6,X7,X8,X9
0.553,0.42,0.177,0.7835,0.2985,0.1341,0.271,9
0.264,0.195,0.09,0.129,0.0546,0.0379,0.036,5
0.565,0.437,0.175,1.1087,0.4468,0.2113,0.332,10
0.569,0.449,0.163,1.0905,0.6088,0.1632,0.255,9
0.596,0.469,0.18,1.1522,0.4952,0.2838,0.301,9
0.508,0.405,0.127,0.6536,0.2784,0.2141,0.147,9
0.531,0.416,0.112,0.5328,0.2871,0.0909,0.155,9
0.586,0.458,0.131,0.9549,0.4439,0.2485,0.265,7
0.495,0.389,0.121,0.7683,0.2688,0.2045,0.21,10
0.572,0.449,0.145,1.0594,0.3814,0.2296,0.345,12
0.582,0.47,0.164,0.9101,0.3672,0.1746,0.268,10
0.522,0.4,0.107,0.5639,0.3481,0.0606,0.12,9
0.494,0.376,0.117,0.7363,0.3828,0.2122,0.136,8
0.616,0.475,0.176,1.2436,0.5286,0.3115,0.334,9
0.586,0.449,0.126,0.9131,0.2911,0.2159,0.313,11
0.481,0.395,0.111,0.6365,0.2513,0.1686,0.203,9
0.552,0.436,0.179,0.9712,0.3702,0.206,0.34,10
0.6,0.483,0.148,1.2681,0.4801,0.2845,0.367,22
0.612,0.476,0.153,0.9148,0.4591,0.1983,0.231,10
0.533,0.437,0.115,0.7525,0.2408,0.1319,0.294,16
0.354,0.214,0.093,0.1572,0.0813,0.0313,0.042,6
0.366,0.265,0.087,0.2512,0.1646,0.0572,0.053,6
0.562,0.446,0.181,1.0279,0.4436,0.2308,0.264,14
0.305,0.218,0.06,0.112,0.0725,0.0176,0.026,4
0.64,0.488,0.154,1.3382,0.5708,0.2875,0.382,9
0.371,0.28,0.137,0.3949,0.2232,0.1079,0.064,8
0.487,0.368,0.118,0.3206,0.1395,0.0447,0.143,9
0.708,0.561,0.211,1.7553,0.6979,0.3223,0.547,16
0.598,0.462,0.131,0.6757,0.2244,0.152,0.269,8
0.636,0.486,0.175,1.0789,0.5418,0.2333,0.234,16
0.559,0.403,0.132,0.8491,0.3953,0.1832,0.208,8
0.529,0.4,0.175,0.9419,0.4531,0.1881,0.243,12
0.715,0.563,0.205,1.665,0.6579,0.3745,0.486,15
0.497,0.392,0.094,0.5983,0.3197,0.1479,0.12,9
0.401,0.348,0.062,0.3432,0.1733,0.046,0.121,7
0.551,0.455,0.166,0.5915,0.2319,0.1195,0.183,12
0.431,0.287,0.113,0.3814,0.1728,0.0824,0.108,10
0.648,0.499,0.185,1.4506,0.6455,0.2997,0.401,11
0.565,0.441,0.145,1.073,0.3953,0.2261,0.316,10
0.627,0.489,0.145,1.2103,0.5613,0.2949,0.296,8
0.345,0.262,0.111,0.3904,0.1874,0.1145,0.083,8
0.455,0.36,0.126,0.733,0.2718,0.2073,0.184,9
0.451,0.364,0.098,0.6902,0.3884,0.1379,0.179,5
0.399,0.309,0.112,0.5175,0.2954,0.1006,0.124,7
0.36,0.271,0.124,0.4082,0.1924,0.1145,0.094,8
0.562,0.424,0.155,1.0792,0.4999,0.15,0.325,7
0.565,0.444,0.172,1.0501,0.4039,0.2535,0.303,9
0.582,0.436,0.161,0.7763,0.3173,0.1717,0.219,17
0.59,0.467,0.149,1.2029,0.5703,0.269,0.294,9
0.456,0.346,0.066,0.5938,0.2562,0.1011,0.201,9
0.615,0.486,0.162,1.1506,0.5035,0.2493,0.329,8
0.579,0.445,0.126,1.0389,0.3871,0.2416,0.316,14
0.526,0.424,0.137,1.0977,0.4207,0.1741,0.389,16
0.61,0.484,0.156,0.953,0.4383,0.2432,0.233,9
0.562,0.449,0.142,0.6943,0.272,0.1495,0.226,8
0.581,0.479,0.141,1.1195,0.3446,0.2287,0.387,14
0.344,0.273,0.1,0.3112,0.1199,0.0669,0.08,9
0.545,0.408,0.143,0.793,0.318,0.1702,0.202,11
0.283,0.207,0.094,0.1356,0.0722,0.0177,0.045,8
0.493,0.354,0.113,0.5037,0.2398,0.0966,0.126,10
0.592,0.468,0.152,1.0771,0.3614,0.2011,0.39,15
0.618,0.494,0.161,0.7209,0.2815,0.1691,0.209,11
0.656,0.521,0.18,1.504,0.6302,0.3789,0.405,16
