age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,sex,occupation,age_group,education,workclass,native-country,race
45,163735,12,4969,0,40,Never-married,Not-in-family,Female,Other-service,45-54,HS-grad,Federal-gov,United-States,White
60,233970,9,6,0,40,Divorced,Unmarried,Female,Adm-clerical,55-64,HS-grad,Federal-gov,United-States,White
40,35283,5,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,35-44,Assoc-acdm,Private,United-States,White
25,60255,14,0,0,26,Married-civ-spouse,Husband,Male,Exec-managerial,25-34,Assoc-voc,Private,United-States,White
30,188772,8,2,0,40,Married-civ-spouse,Husband,Male,Craft-repair,25-34,Assoc-voc,Private,United-States,White
29,411729,10,0,0,25,Never-married,Own-child,Female,Craft-repair,25-34,Some-college,Local-gov,United-States,White
40,33985,7,1,0,40,Married-civ-spouse,Husband,Male,Other-service,35-44,Bachelors,Private,United-States,White
36,153555,6,0,0,47,Married-civ-spouse,Husband,Male,Craft-repair,35-44,Bachelors,Private,United-States,White
42,39178,10,0,0,45,Divorced,Unmarried,Male,Handlers-cleaners,35-44,Bachelors,Private,United-States,White
52,260284,9,0,0,50,Widowed,Unmarried,Female,Sales,45-54,HS-grad,Private,United-States,White
31,166800,9,0,0,51,Married-civ-spouse,Husband,Male,Adm-clerical,25-34,HS-grad,Private,United-States,White
36,286591,10,0,0,59,Never-married,Not-in-family,Female,Other-service,35-44,Some-college,Local-gov,United-States,White
37,367184,2,5,0,40,Married-civ-spouse,Other-relative,Female,Other-service,35-44,HS-grad,Self-emp-not-inc,United-States,White
38,33560,9,4,0,40,Never-married,Other-relative,Female,Prof-specialty,35-44,10th,Private,United-States,White
26,139439,13,4,0,44,Never-married,Own-child,Female,Other-service,25-34,7th-8th,Private,United-States,White
38,279521,9,0,0,20,Married-civ-spouse,Husband,Male,Craft-repair,35-44,HS-grad,Private,United-States,White
41,194663,10,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,35-44,HS-grad,Private,United-States,White
33,109653,9,4,1732,40,Never-married,Own-child,Female,Adm-clerical,25-34,Assoc-voc,Private,United-States,White
41,171246,4,0,0,75,Separated,Own-child,Male,Sales,35-44,Some-college,Private,United-States,White
35,200284,10,0,0,45,Married-civ-spouse,Husband,Male,Craft-repair,35-44,Bachelors,Private,United-States,White
49,97564,14,0,0,80,Divorced,Own-child,Male,Prof-specialty,45-54,HS-grad,Private,England,White
24,133989,10,0,0,40,Never-married,Unmarried,Female,Machine-op-inspct,17-24,Some-college,Private,United-States,White
24,223871,9,19,0,40,Never-married,Unmarried,Female,Craft-repair,17-24,HS-grad,Private,United-States,White
49,64244,10,1422,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,45-54,10th,Local-gov,United-States,White
41,247856,7,0,0,40,Never-married,Own-child,Female,Adm-clerical,35-44,Masters,Private,United-States,White
41,201015,9,2,0,39,Married-civ-spouse,Other-relative,Male,Adm-clerical,35-44,Some-college,Private,Iran,Asian-Pac-Islander
65,200819,9,7,0,48,Married-civ-spouse,Husband,Male,Farming-fishing,65-90,5th-6th,Private,United-States,White
55,101077,13,6,0,75,Married-civ-spouse,Husband,Male,Craft-repair,55-64,12th,Local-gov,United-States,White
34,112233,9,0,0,40,Divorced,Own-child,Male,Adm-clerical,25-34,Prof-school,Private,United-States,White
41,253473,10,3062,0,94,Married-civ-spouse,Husband,Male,Craft-repair,35-44,Bachelors,Private,United-States,White
46,101449,9,4,0,45,Married-civ-spouse,Wife,Female,Craft-repair,45-54,HS-grad,State-gov,United-States,White
44,169931,9,0,0,45,Married-civ-spouse,Husband,Male,Transport-moving,35-44,10th,Private,Jamaica,Black
40,68609,10,4,0,40,Divorced,Not-in-family,Male,Exec-managerial,35-44,Some-college,Self-emp-not-inc,United-States,White
38,83695,10,6,0,51,Married-civ-spouse,Husband,Male,Craft-repair,35-44,11th,Private,United-States,White
21,106149,11,5,0,99,Never-married,Other-relative,Male,Prof-specialty,17-24,Some-college,Private,United-States,White
46,298060,13,8,0,50,Divorced,Unmarried,Female,Prof-specialty,45-54,11th,Private,United-States,White
27,163986,9,1,1973,13,Married-civ-spouse,Husband,Male,Machine-op-inspct,25-34,Bachelors,Private,United-States,White
47,43467,9,11,0,35,Divorced,Unmarried,Female,Priv-house-serv,45-54,HS-grad,Local-gov,United-States,White
27,244736,9,1,0,37,Never-married,Not-in-family,Male,Adm-clerical,25-34,Assoc-voc,State-gov,United-States,White
70,212992,4,2,0,46,Married-civ-spouse,Husband,Male,Prof-specialty,65-90,HS-grad,Self-emp-not-inc,United-States,White
26,174642,11,8,0,40,Never-married,Own-child,Female,Farming-fishing,25-34,Assoc-acdm,Private,United-States,White
31,121247,14,6,0,51,Married-civ-spouse,Husband,Male,Exec-managerial,25-34,Bachelors,Private,United-States,White
70,262620,6,0,0,40,Widowed,Not-in-family,Male,Exec-managerial,65-90,HS-grad,Federal-gov,United-States,White
44,245001,9,0,0,27,Married-civ-spouse,Husband,Male,Prof-specialty,35-44,Some-college,Private,United-States,White
34,73347,14,0,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,25-34,HS-grad,Federal-gov,United-States,White
58,48146,13,3,0,46,Divorced,Not-in-family,Male,Adm-clerical,55-64,Bachelors,State-gov,United-States,White
40,121194,10,0,0,45,Never-married,Not-in-family,Male,Craft-repair,35-44,Some-college,Self-emp-inc,United-States,White
61,58401,15,0,0,50,Married-civ-spouse,Husband,Male,Other-service,55-64,Prof-school,Federal-gov,United-States,White
41,118826,9,0,0,48,Divorced,Unmarried,Female,Exec-managerial,35-44,11th,Private,United-States,White
42,113001,13,4,0,49,Separated,Not-in-family,Female,Machine-op-inspct,35-44,Bachelors,Local-gov,United-States,White
26,133330,13,6,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,25-34,HS-grad,Local-gov,United-States,White
56,115097,12,1,0,55,Widowed,Not-in-family,Female,Craft-repair,55-64,1st-4th,Local-gov,United-States,White
49,246092,13,3,0,40,Divorced,Not-in-family,Female,Prof-specialty,45-54,Bachelors,Local-gov,United-States,White
42,165807,10,6,0,73,Divorced,Own-child,Female,Craft-repair,35-44,Bachelors,Private,United-States,White
24,84965,13,8,0,47,Divorced,Unmarried,Male,Exec-managerial,17-24,7th-8th,Private,United-States,White
37,102107,10,0,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,35-44,HS-grad,Federal-gov,Mexico,White
26,156934,10,0,0,40,Never-married,Own-child,Female,Prof-specialty,25-34,HS-grad,Private,United-States,White
41,129824,9,2,0,20,Married-civ-spouse,Husband,Male,Craft-repair,35-44,Some-college,Private,United-States,White
27,165894,10,2657,0,40,Never-married,Other-relative,Male,Other-service,25-34,Some-college,Private,United-States,White
37,95841,10,0,0,37,Married-civ-spouse,Husband,Male,Craft-repair,35-44,HS-grad,Private,United-States,White
45,357512,9,4,0,40,Divorced,Not-in-family,Male,Exec-managerial,45-54,Doctorate,Private,United-States,White
40,178113,10,0,0,40,Divorced,Unmarried,Female,Prof-specialty,35-44,HS-grad,Private,United-States,White
58,259342,15,0,0,45,Divorced,Unmarried,Female,Adm-clerical,55-64,11th,Private,United-States,White
71,96809,9,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,65-90,HS-grad,Private,United-States,White
