age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,sex,occupation,workclass,native-country,race
49,209487,13,5,0,40,Married-civ-spouse,Own-child,Male,Exec-managerial,Private,United-States,White
41,285800,10,3,0,65,Married-civ-spouse,Not-in-family,Female,Exec-managerial,Private,United-States,Black
53,345864,13,5,0,26,Divorced,Wife,Female,Sales,Private,United-States,White
41,43575,10,6,0,34,Never-married,Not-in-family,Female,Protective-serv,Private,United-States,White
28,130999,14,14,0,49,Never-married,Husband,Male,Other-service,Private,United-States,White
50,111913,10,5,0,49,Married-civ-spouse,Unmarried,Female,Other-service,Private,United-States,White
39,302415,11,7,0,40,Divorced,Husband,Male,Other-service,Private,United-States,White
43,235965,9,11,0,57,Married-civ-spouse,Unmarried,Female,Other-service,State-gov,United-States,White
31,303292,10,0,0,40,Married-civ-spouse,Husband,Male,Transport-moving,Local-gov,United-States,White
24,116898,9,0,0,40,Never-married,Not-in-family,Female,Sales,Private,Mexico,White
20,382711,9,0,0,15,Married-civ-spouse,Not-in-family,Female,Sales,Private,United-States,White
43,197499,9,0,0,40,Never-married,Husband,Male,Other-service,Self-emp-inc,United-States,Black
33,215977,8,0,0,28,Married-civ-spouse,Unmarried,Male,Machine-op-inspct,Private,United-States,White
41,286004,7,4,0,40,Never-married,Husband,Male,Exec-managerial,Private,United-States,White
46,169853,14,5,0,40,Never-married,Husband,Male,Farming-fishing,Self-emp-not-inc,United-States,White
57,228228,9,6,0,55,Married-civ-spouse,Husband,Male,Prof-specialty,Private,United-States,White
17,166335,14,1,0,35,Never-married,Husband,Male,Craft-repair,Private,United-States,White
37,127197,9,0,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,Private,United-States,White
47,183993,7,1,0,20,Married-civ-spouse,Not-in-family,Male,Sales,State-gov,United-States,White
42,127759,13,0,0,40,Married-civ-spouse,Unmarried,Female,Other-service,Private,United-States,White
46,202952,14,0,0,51,Widowed,Unmarried,Female,Craft-repair,Private,United-States,White
43,117491,10,8,0,40,Married-civ-spouse,Own-child,Female,Other-service,Private,United-States,White
24,80086,4,3,0,40,Never-married,Husband,Male,Tech-support,Private,United-States,White
31,109213,10,5,0,40,Married-civ-spouse,Own-child,Male,Prof-specialty,State-gov,United-States,White
33,55571,10,3,0,40,Married-civ-spouse,Not-in-family,Male,Tech-support,Private,United-States,White
22,280252,7,0,0,40,Never-married,Not-in-family,Male,Prof-specialty,Private,United-States,White
50,370972,11,6,0,45,Married-civ-spouse,Not-in-family,Male,Sales,Private,United-States,White
48,131014,9,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
22,183651,9,0,0,49,Never-married,Own-child,Male,Craft-repair,State-gov,United-States,White
42,34671,10,0,0,49,Married-civ-spouse,Not-in-family,Male,Craft-repair,Local-gov,Mexico,White
21,299495,11,0,0,27,Never-married,Own-child,Male,Prof-specialty,Private,United-States,White
36,192075,10,0,0,49,Divorced,Not-in-family,Male,Handlers-cleaners,Private,United-States,White
36,92441,9,0,0,40,Divorced,Husband,Male,Machine-op-inspct,Private,United-States,White
53,143602,13,10,0,49,Never-married,Husband,Male,Sales,Private,United-States,Black
24,252024,10,0,0,61,Never-married,Own-child,Male,Handlers-cleaners,Private,United-States,Black
57,112769,15,7,0,40,Married-civ-spouse,Own-child,Male,Other-service,Private,China,White
37,40740,9,0,0,40,Married-civ-spouse,Own-child,Male,Transport-moving,Private,United-States,White
17,191978,9,0,0,40,Never-married,Husband,Male,Craft-repair,Private,United-States,White
27,488229,9,1,0,40,Never-married,Not-in-family,Male,Transport-moving,Local-gov,United-States,White
51,273672,8,12,0,35,Married-civ-spouse,Not-in-family,Male,Craft-repair,Private,United-States,White
24,142411,3,0,0,33,Never-married,Not-in-family,Female,Adm-clerical,Local-gov,United-States,White
45,127703,4,0,0,40,Married-civ-spouse,Husband,Male,Other-service,Private,United-States,White
53,139748,10,0,0,62,Married-civ-spouse,Not-in-family,Female,Prof-specialty,Private,United-States,White
39,165092,13,0,0,49,Married-civ-spouse,Husband,Male,Handlers-cleaners,Private,United-States,Black
22,159191,13,3,0,69,Never-married,Husband,Male,Exec-managerial,Private,United-States,White
33,333111,10,7,0,46,Married-civ-spouse,Not-in-family,Female,Other-service,Local-gov,United-States,White
29,103714,11,0,0,57,Never-married,Husband,Male,Craft-repair,Private,United-States,White
45,65097,9,19,0,60,Married-civ-spouse,Not-in-family,Female,Adm-clerical,Private,United-States,White
33,100916,13,0,1735,40,Married-civ-spouse,Husband,Male,Adm-clerical,Private,United-States,White
39,155970,13,10,0,40,Never-married,Husband,Male,Craft-repair,Private,United-States,White
56,201612,10,5,0,50,Married-civ-spouse,Husband,Male,Transport-moving,Private,United-States,Black
26,153029,13,6,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,Self-emp-not-inc,United-States,White
53,188969,13,0,0,49,Married-civ-spouse,Unmarried,Female,Handlers-cleaners,Private,United-States,Black
26,249385,9,15,0,20,Married-civ-spouse,Husband,Male,Other-service,Federal-gov,United-States,Black
69,253050,7,0,0,66,Married-civ-spouse,Husband,Male,Sales,Private,United-States,White
26,318545,10,0,0,26,Married-spouse-absent,Husband,Male,Prof-specialty,Private,Vietnam,Black
29,180756,9,0,0,34,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
21,197808,13,5,0,28,Married-AF-spouse,Not-in-family,Male,Other-service,Private,United-States,White
27,185602,9,7,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Self-emp-not-inc,United-States,White
28,181268,10,0,0,27,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
37,185154,15,0,0,49,Never-married,Own-child,Female,Prof-specialty,Private,United-States,White
31,96818,9,2,0,40,Never-married,Unmarried,Female,Other-service,Private,United-States,White
51,96588,9,0,0,40,Married-civ-spouse,Unmarried,Female,Adm-clerical,Private,United-States,White
51,126642,13,0,0,40,Married-spouse-absent,Husband,Male,Transport-moving,Private,United-States,White
25,54297,9,9,0,40,Divorced,Not-in-family,Female,Adm-clerical,Private,United-States,White
44,120084,9,0,0,40,Never-married,Own-child,Male,Sales,Local-gov,United-States,White
41,187410,9,1,0,51,Married-civ-spouse,Own-child,Female,Other-service,Private,United-States,White
33,106758,9,6,0,44,Never-married,Unmarried,Male,Farming-fishing,State-gov,United-States,White
19,235850,10,4,0,40,Never-married,Own-child,Male,Handlers-cleaners,Private,United-States,White
27,101744,14,0,1674,45,Never-married,Husband,Male,Sales,Private,United-States,Amer-Indian-Eskimo
50,253543,14,0,0,40,Never-married,Not-in-family,Female,Craft-repair,Self-emp-inc,United-States,White
28,120558,14,0,0,30,Never-married,Husband,Male,Transport-moving,Private,United-States,White
18,21728,9,0,0,40,Never-married,Husband,Male,Transport-moving,Private,United-States,White
31,252690,9,5,0,36,Married-civ-spouse,Husband,Male,Other-service,Private,United-States,White
44,142469,9,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,Federal-gov,United-States,White
35,208185,4,2988,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,Private,Mexico,White
24,301262,11,0,0,40,Never-married,Husband,Male,Other-service,Private,United-States,White
42,78796,6,0,0,40,Divorced,Not-in-family,Male,Protective-serv,Private,United-States,White
66,111013,9,5,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,State-gov,United-States,White
59,21778,2,6,0,52,Married-civ-spouse,Husband,Male,Transport-moving,Private,United-States,White
30,207132,9,7550,0,35,Married-civ-spouse,Husband,Male,Handlers-cleaners,Private,United-States,White
41,228757,2,6,0,8,Separated,Husband,Male,Protective-serv,Private,United-States,White
21,118489,13,7473,0,45,Never-married,Husband,Male,Transport-moving,Private,United-States,White
58,303704,10,0,0,44,Divorced,Not-in-family,Female,Adm-clerical,Self-emp-not-inc,United-States,White
41,107861,13,11,1971,40,Married-civ-spouse,Other-relative,Male,Transport-moving,Private,United-States,White
30,125592,13,0,1886,20,Never-married,Own-child,Female,Adm-clerical,Private,United-States,White
32,141636,14,0,0,51,Never-married,Unmarried,Female,Exec-managerial,Private,United-States,White
63,85992,14,16,0,40,Married-civ-spouse,Not-in-family,Male,Machine-op-inspct,Private,United-States,White
33,210720,9,0,0,59,Never-married,Husband,Male,Exec-managerial,Private,United-States,Black
41,390784,10,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,Private,United-States,White
40,52859,4,6,0,40,Divorced,Husband,Male,Handlers-cleaners,State-gov,United-States,White
46,228296,9,0,0,40,Never-married,Husband,Male,Prof-specialty,Private,United-States,White
60,203822,13,0,0,15,Widowed,Husband,Male,Exec-managerial,Private,United-States,White
27,316308,13,7871,1602,40,Married-civ-spouse,Unmarried,Female,Adm-clerical,Private,United-States,White
52,195206,13,14477,0,40,Divorced,Husband,Male,Craft-repair,Private,United-States,White
29,209238,9,0,0,40,Married-civ-spouse,Unmarried,Female,Prof-specialty,Private,United-States,White
59,177325,6,0,0,13,Married-civ-spouse,Not-in-family,Female,Adm-clerical,Self-emp-not-inc,United-States,White
53,18387,13,12,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
58,157234,11,3,0,40,Never-married,Husband,Male,Handlers-cleaners,State-gov,United-States,White
19,262953,9,14739,0,40,Married-civ-spouse,Not-in-family,Female,Handlers-cleaners,Private,United-States,White
41,363192,10,8,1855,49,Married-civ-spouse,Wife,Female,Prof-specialty,Local-gov,United-States,White
46,115001,9,5,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
28,203839,8,8,0,40,Married-civ-spouse,Husband,Male,Other-service,Private,United-States,White
21,110351,8,0,0,63,Never-married,Husband,Male,Exec-managerial,Private,United-States,White
32,243831,10,4,0,40,Separated,Not-in-family,Female,Other-service,Private,United-States,Black
27,213942,10,0,0,40,Married-spouse-absent,Own-child,Female,Other-service,Self-emp-not-inc,United-States,White
37,450482,13,0,0,40,Married-civ-spouse,Not-in-family,Male,Handlers-cleaners,Private,United-States,White
41,47141,11,11,0,62,Divorced,Not-in-family,Male,Craft-repair,Private,United-States,White
19,114321,9,0,1604,48,Married-civ-spouse,Husband,Male,Tech-support,Private,United-States,White
24,183194,9,8,0,44,Never-married,Not-in-family,Male,Adm-clerical,Private,United-States,White
46,146604,15,0,0,40,Married-civ-spouse,Wife,Female,Other-service,Private,United-States,White
43,121569,12,0,0,28,Married-civ-spouse,Own-child,Male,Handlers-cleaners,Private,United-States,White
34,138206,9,0,0,40,Never-married,Own-child,Male,Sales,Local-gov,United-States,Black
69,303899,3,2,0,40,Married-civ-spouse,Not-in-family,Male,Protective-serv,Private,United-States,White
49,98737,13,0,0,50,Married-civ-spouse,Unmarried,Female,Adm-clerical,State-gov,United-States,White
49,77274,9,0,0,40,Divorced,Not-in-family,Male,Craft-repair,Private,India,White
35,403497,9,0,0,20,Divorced,Own-child,Male,Exec-managerial,Private,United-States,White
44,162165,10,1,0,62,Married-civ-spouse,Husband,Male,Adm-clerical,Private,United-States,White
56,164019,13,4652,0,50,Married-civ-spouse,Not-in-family,Male,Transport-moving,Private,United-States,Black
37,319464,13,0,0,13,Married-spouse-absent,Not-in-family,Male,Transport-moving,Private,United-States,White
50,103479,14,23866,0,51,Divorced,Own-child,Male,Farming-fishing,State-gov,United-States,White
23,45703,9,1,0,63,Never-married,Own-child,Female,Tech-support,Private,United-States,Black
46,169234,12,0,0,40,Married-civ-spouse,Not-in-family,Male,Craft-repair,Federal-gov,United-States,White
45,62597,10,8258,0,40,Divorced,Unmarried,Male,Sales,Self-emp-inc,United-States,White
25,138582,11,2,0,40,Divorced,Wife,Female,Exec-managerial,Local-gov,United-States,White
43,193583,10,0,0,40,Married-civ-spouse,Own-child,Female,Other-service,Private,United-States,White
42,164194,9,2,0,40,Never-married,Husband,Male,Handlers-cleaners,Private,United-States,White
36,138966,9,2,0,40,Married-civ-spouse,Not-in-family,Female,Tech-support,Self-emp-inc,United-States,White
36,235060,9,1,0,40,Married-civ-spouse,Not-in-family,Male,Prof-specialty,Self-emp-not-inc,United-States,White
17,37374,14,0,0,40,Never-married,Own-child,Female,Prof-specialty,Private,United-States,White
46,118764,6,0,0,5,Married-civ-spouse,Not-in-family,Female,Transport-moving,Self-emp-inc,United-States,White
42,189031,9,8,1949,40,Never-married,Not-in-family,Female,Adm-clerical,State-gov,United-States,White
23,84944,10,5,0,37,Never-married,Not-in-family,Female,Prof-specialty,Self-emp-not-inc,United-States,White
57,225820,9,4,0,50,Never-married,Husband,Male,Prof-specialty,Private,United-States,White
64,349412,9,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,Black
43,189937,9,0,0,57,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
21,90040,9,0,0,40,Never-married,Not-in-family,Female,Tech-support,Private,United-States,White
20,107954,9,0,0,31,Never-married,Husband,Male,Machine-op-inspct,Private,United-States,White
26,86859,13,6,0,27,Never-married,Husband,Male,Tech-support,Private,United-States,White
23,242613,10,0,0,44,Never-married,Not-in-family,Female,Adm-clerical,Private,United-States,Black
21,344011,9,10,0,20,Never-married,Wife,Female,Machine-op-inspct,Private,United-States,Black
35,379897,9,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
27,307603,15,1,0,50,Never-married,Not-in-family,Male,Prof-specialty,Private,United-States,White
71,177225,9,14,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
46,121460,9,2,0,40,Divorced,Husband,Male,Transport-moving,Self-emp-not-inc,United-States,White
25,292969,13,9,0,40,Married-civ-spouse,Not-in-family,Male,Tech-support,Private,United-States,White
59,229819,12,1823,1619,45,Married-civ-spouse,Husband,Male,Adm-clerical,Private,United-States,White
20,114173,14,0,0,43,Never-married,Not-in-family,Male,Transport-moving,Local-gov,United-States,White
41,204287,9,2,0,69,Separated,Husband,Male,Prof-specialty,Private,United-States,White
52,102378,9,0,0,40,Married-civ-spouse,Own-child,Male,Prof-specialty,Private,United-States,White
53,163855,13,0,0,40,Married-civ-spouse,Not-in-family,Male,Other-service,Private,United-States,Black
33,304961,9,4,0,50,Married-spouse-absent,Husband,Male,Craft-repair,Self-emp-inc,United-States,White
39,98682,13,17,0,40,Divorced,Wife,Female,Adm-clerical,Private,United-States,White
41,24442,12,0,0,44,Never-married,Husband,Male,Exec-managerial,Private,United-States,White
45,327569,9,0,0,40,Married-civ-spouse,Not-in-family,Female,Exec-managerial,Private,United-States,Asian-Pac-Islander
44,163533,10,0,0,45,Married-civ-spouse,Not-in-family,Male,Handlers-cleaners,Private,United-States,White
39,30373,14,0,0,40,Married-civ-spouse,Husband,Male,Sales,Private,United-States,White
30,317028,10,0,0,19,Never-married,Unmarried,Female,Craft-repair,Self-emp-not-inc,United-States,White
28,200890,10,0,0,45,Never-married,Husband,Male,Machine-op-inspct,Private,United-States,White
26,114480,9,0,0,20,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
55,218501,11,10,0,32,Never-married,Other-relative,Male,Prof-specialty,Self-emp-not-inc,United-States,White
37,13769,9,0,0,40,Divorced,Unmarried,Male,Transport-moving,Private,United-States,White
31,25473,13,0,0,28,Never-married,Not-in-family,Male,Craft-repair,Private,United-States,White
41,54389,9,3,0,57,Married-civ-spouse,Husband,Male,Transport-moving,Private,United-States,White
26,69860,10,9,0,54,Married-civ-spouse,Wife,Female,Sales,Private,United-States,White
32,335804,4,2,0,40,Never-married,Wife,Female,Other-service,Private,United-States,White
57,122272,6,0,0,40,Married-civ-spouse,Not-in-family,Male,Exec-managerial,Private,United-States,White
34,100737,8,0,1899,33,Married-civ-spouse,Unmarried,Male,Other-service,Private,United-States,White
19,301016,10,0,0,20,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
39,181535,9,0,0,62,Married-civ-spouse,Husband,Male,Adm-clerical,Local-gov,United-States,White
28,115889,9,0,0,29,Never-married,Own-child,Male,Sales,Self-emp-not-inc,United-States,White
37,494128,10,2,0,48,Divorced,Not-in-family,Male,Prof-specialty,Private,Greece,White
36,258940,9,5,0,24,Married-civ-spouse,Not-in-family,Male,Adm-clerical,Private,Canada,White
49,65693,9,8567,0,40,Married-civ-spouse,Husband,Male,Protective-serv,Private,United-States,White
35,201220,10,0,0,40,Married-civ-spouse,Unmarried,Male,Handlers-cleaners,Private,United-States,White
52,140044,13,4,0,40,Married-civ-spouse,Husband,Male,Transport-moving,Private,United-States,White
54,201274,9,0,0,40,Married-civ-spouse,Wife,Female,Adm-clerical,Private,Taiwan,White
19,124147,14,4287,1955,72,Never-married,Not-in-family,Male,Machine-op-inspct,Private,United-States,White
46,226543,3,0,0,40,Married-civ-spouse,Husband,Male,Transport-moving,Federal-gov,United-States,Black
20,184497,6,3719,0,40,Married-civ-spouse,Husband,Male,Protective-serv,Private,United-States,White
35,173507,9,0,0,40,Married-civ-spouse,Husband,Male,Farming-fishing,Private,United-States,White
54,250608,9,0,0,40,Separated,Not-in-family,Female,Handlers-cleaners,Private,United-States,White
26,203957,7,0,0,23,Never-married,Other-relative,Male,Prof-specialty,Private,United-States,Black
28,49522,13,5,0,40,Married-civ-spouse,Not-in-family,Male,Other-service,Private,United-States,White
34,472395,9,1,0,49,Married-civ-spouse,Not-in-family,Male,Prof-specialty,Private,United-States,White
52,242520,13,0,0,46,Never-married,Not-in-family,Female,Exec-managerial,State-gov,United-States,White
19,148202,6,0,0,40,Never-married,Unmarried,Male,Prof-specialty,Private,United-States,White
31,181970,14,11,0,40,Never-married,Own-child,Male,Prof-specialty,Private,United-States,White
48,436920,9,8,0,58,Divorced,Husband,Male,Sales,Private,United-States,White
60,164351,10,7,0,57,Divorced,Not-in-family,Female,Other-service,Local-gov,United-States,White
33,270691,11,0,0,36,Divorced,Husband,Male,Craft-repair,Private,United-States,White
25,152485,9,0,0,27,Never-married,Not-in-family,Female,Sales,Private,United-States,Black
51,172744,9,2,0,31,Married-civ-spouse,Husband,Male,Transport-moving,Private,United-States,Black
20,140988,14,7,0,40,Divorced,Not-in-family,Male,Sales,Private,United-States,White
47,113855,13,1,0,46,Married-civ-spouse,Husband,Male,Transport-moving,Self-emp-not-inc,United-States,White
22,18457,9,0,0,40,Married-spouse-absent,Not-in-family,Male,Exec-managerial,Private,United-States,White
25,104781,15,7,0,58,Married-civ-spouse,Own-child,Female,Prof-specialty,Private,United-States,White
49,353982,9,14,0,49,Never-married,Own-child,Female,Prof-specialty,Private,United-States,Black
23,230248,13,0,0,40,Never-married,Unmarried,Female,Other-service,Private,United-States,Black
40,134560,10,3604,0,15,Divorced,Unmarried,Female,Adm-clerical,Private,United-States,White
21,230609,10,8,0,40,Separated,Not-in-family,Female,Sales,Private,United-States,White
24,51110,9,4,0,20,Married-civ-spouse,Not-in-family,Male,Transport-moving,Private,Dominican-Republic,White
44,152376,9,0,2021,40,Married-civ-spouse,Husband,Male,Transport-moving,Private,United-States,White
27,175665,9,5,0,55,Married-civ-spouse,Unmarried,Female,Machine-op-inspct,Private,United-States,Black
44,97701,3,0,0,40,Never-married,Unmarried,Female,Exec-managerial,Private,United-States,White
46,241064,13,0,0,47,Married-civ-spouse,Husband,Male,Exec-managerial,Self-emp-not-inc,United-States,White
18,279937,11,9,0,40,Never-married,Not-in-family,Female,Exec-managerial,Private,United-States,White
53,188142,9,3744,0,40,Separated,Not-in-family,Male,Exec-managerial,Private,United-States,White
51,413110,7,0,0,40,Widowed,Not-in-family,Male,Exec-managerial,Private,United-States,White
38,201694,9,7,0,44,Divorced,Not-in-family,Male,Machine-op-inspct,Private,United-States,White
31,283875,8,0,0,37,Married-civ-spouse,Husband,Male,Protective-serv,Private,Puerto-Rico,White
18,362968,5,6,0,35,Never-married,Husband,Male,Transport-moving,Private,United-States,White
42,118005,11,1,0,40,Divorced,Other-relative,Male,Transport-moving,State-gov,United-States,White
52,191791,13,0,0,40,Married-civ-spouse,Not-in-family,Female,Adm-clerical,Self-emp-inc,United-States,White
52,45457,14,0,0,65,Divorced,Husband,Male,Adm-clerical,Private,United-States,White
36,240882,9,1,0,40,Married-civ-spouse,Own-child,Male,Craft-repair,Private,United-States,White
67,357312,13,2,0,51,Married-civ-spouse,Husband,Male,Other-service,Self-emp-not-inc,United-States,White
29,39326,10,0,0,40,Separated,Not-in-family,Female,Craft-repair,Private,United-States,White
53,213190,11,99999,0,15,Married-civ-spouse,Not-in-family,Female,Sales,Self-emp-not-inc,United-States,White
73,65344,12,3,0,40,Married-civ-spouse,Own-child,Female,Adm-clerical,Self-emp-inc,United-States,White
39,270919,13,5,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
23,184099,10,17,0,43,Never-married,Husband,Male,Craft-repair,Private,United-States,White
58,367795,14,7391,0,87,Widowed,Unmarried,Female,Adm-clerical,Federal-gov,United-States,White
28,121282,12,6,0,40,Never-married,Not-in-family,Female,Adm-clerical,Private,United-States,White
35,186364,9,11,0,20,Married-civ-spouse,Unmarried,Female,Exec-managerial,Private,Poland,White
43,172145,13,9,0,40,Married-civ-spouse,Not-in-family,Male,Sales,Private,United-States,White
44,138184,10,10495,0,40,Never-married,Husband,Male,Exec-managerial,Private,United-States,Black
27,279303,7,7,0,35,Married-civ-spouse,Own-child,Male,Craft-repair,Local-gov,United-States,White
45,176919,9,24701,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,Private,United-States,Black
30,172717,9,0,0,47,Separated,Not-in-family,Male,Transport-moving,Private,United-States,White
27,176896,9,6,0,40,Married-civ-spouse,Wife,Female,Prof-specialty,Private,United-States,White
37,114223,9,0,0,40,Separated,Own-child,Male,Exec-managerial,Private,United-States,White
43,31587,14,8,0,29,Married-civ-spouse,Not-in-family,Male,Sales,Federal-gov,United-States,White
50,102227,9,0,0,28,Married-civ-spouse,Husband,Male,Craft-repair,State-gov,United-States,White
31,167454,10,8,0,38,Married-civ-spouse,Husband,Male,Protective-serv,Private,United-States,White
18,200038,9,3655,0,36,Never-married,Other-relative,Male,Machine-op-inspct,Private,United-States,White
41,228917,10,3,0,28,Never-married,Not-in-family,Female,Sales,Self-emp-inc,United-States,White
65,115000,10,0,0,36,Divorced,Not-in-family,Female,Adm-clerical,Local-gov,United-States,White
30,182534,12,9,0,36,Divorced,Not-in-family,Female,Exec-managerial,Private,United-States,White
19,181824,9,0,0,46,Separated,Other-relative,Female,Craft-repair,Private,United-States,White
22,48706,10,6,0,40,Never-married,Husband,Male,Exec-managerial,Private,Jamaica,Black
