age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,sex,occupation,education,workclass,native-country,race
26,87106,10,0,0,40,Married-civ-spouse,Own-child,Male,Adm-clerical,Assoc-acdm,Private,United-States,White
21,260207,10,0,0,26,Never-married,Not-in-family,Male,Transport-moving,Assoc-voc,Private,United-States,White
38,193205,9,0,2297,40,Married-civ-spouse,Husband,Male,Prof-specialty,HS-grad,Private,Canada,White
68,52695,12,0,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,HS-grad,Private,United-States,White
33,209714,13,2,0,40,Divorced,Own-child,Male,Exec-managerial,HS-grad,Private,United-States,White
50,385566,13,6,0,46,Married-civ-spouse,Husband,Male,Sales,Some-college,Private,Mexico,White
36,153163,9,0,0,40,Divorced,Not-in-family,Female,Prof-specialty,Assoc-voc,Private,United-States,White
34,255241,9,2,0,40,Married-civ-spouse,Husband,Male,Transport-moving,HS-grad,Private,United-States,White
45,92779,9,0,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,11th,Private,United-States,White
22,319316,9,1,0,40,Never-married,Not-in-family,Male,Other-service,HS-grad,Private,United-States,White
40,258587,9,1,0,58,Married-civ-spouse,Husband,Male,Protective-serv,Bachelors,Private,United-States,White
34,202811,9,12,0,49,Never-married,Unmarried,Female,Other-service,Some-college,Self-emp-not-inc,United-States,White
19,437864,14,1,0,44,Married-civ-spouse,Husband,Male,Farming-fishing,HS-grad,Private,United-States,White
44,101641,10,0,0,45,Married-civ-spouse,Husband,Male,Other-service,HS-grad,Private,United-States,White
44,60072,10,7,0,40,Divorced,Unmarried,Female,Exec-managerial,Bachelors,Private,United-States,White
39,346599,13,1,0,40,Married-civ-spouse,Husband,Male,Farming-fishing,Assoc-acdm,Private,United-States,White
38,200069,10,6,0,26,Married-civ-spouse,Husband,Male,Sales,Some-college,Self-emp-not-inc,United-States,White
38,129492,10,0,0,59,Married-civ-spouse,Husband,Male,Exec-managerial,Bachelors,Private,United-States,White
19,237860,9,3,1728,50,Married-civ-spouse,Husband,Male,Tech-support,10th,Self-emp-not-inc,United-States,White
44,236675,9,2,0,53,Married-civ-spouse,Husband,Male,Handlers-cleaners,Bachelors,Self-emp-not-inc,United-States,White
45,107804,2,2,0,40,Divorced,Unmarried,Female,Prof-specialty,Bachelors,Self-emp-not-inc,United-States,Other
51,138422,10,10,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,HS-grad,Private,United-States,White
26,158071,15,6,0,40,Never-married,Unmarried,Female,Adm-clerical,HS-grad,Private,United-States,White
26,53235,10,0,0,20,Divorced,Not-in-family,Female,Prof-specialty,Some-college,Local-gov,United-States,White
36,408246,9,1,0,44,Separated,Unmarried,Female,Prof-specialty,Bachelors,Self-emp-inc,Greece,White
33,238995,11,0,0,40,Never-married,Not-in-family,Male,Adm-clerical,1st-4th,Self-emp-inc,United-States,White
17,259206,9,0,0,26,Never-married,Not-in-family,Male,Craft-repair,HS-grad,Private,United-States,White
25,64220,3,0,0,40,Never-married,Own-child,Female,Other-service,HS-grad,Local-gov,United-States,White
44,207799,9,0,0,40,Married-spouse-absent,Not-in-family,Female,Other-service,Some-college,Private,United-States,White
17,106604,9,15,0,45,Never-married,Own-child,Female,Prof-specialty,Bachelors,Self-emp-not-inc,Dominican-Republic,White
24,172260,9,0,0,40,Never-married,Own-child,Male,Handlers-cleaners,Bachelors,Private,United-States,White
39,308942,8,3,0,40,Married-civ-spouse,Wife,Female,Machine-op-inspct,1st-4th,Local-gov,United-States,White
37,93771,9,0,0,36,Married-civ-spouse,Husband,Male,Sales,Masters,Private,United-States,White
34,68590,9,0,0,50,Married-civ-spouse,Husband,Male,Exec-managerial,Masters,Private,United-States,White
29,28845,7,17,0,78,Never-married,Other-relative,Male,Other-service,HS-grad,Private,United-States,White
24,150431,9,9,0,40,Never-married,Unmarried,Female,Prof-specialty,9th,Private,United-States,White
51,212407,13,0,0,58,Married-civ-spouse,Husband,Male,Sales,11th,Private,United-States,White
33,110537,11,0,0,36,Married-civ-spouse,Husband,Male,Prof-specialty,12th,Private,United-States,White
37,234054,13,3,0,40,Married-civ-spouse,Wife,Female,Adm-clerical,HS-grad,Self-emp-not-inc,United-States,Black
17,390899,9,0,0,30,Married-civ-spouse,Husband,Male,Craft-repair,Some-college,Private,United-States,White
39,93351,13,7,0,40,Divorced,Own-child,Female,Exec-managerial,9th,Private,United-States,White
43,32892,9,13,0,40,Married-civ-spouse,Husband,Male,Sales,9th,Private,United-States,White
