longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-121.29,37.47,22,1439,406.5,864,349,3.2335,149242
-119.69,34.1,46,2182,694.7,1599,768,2.4805,292723
-118.03,34.08,34,2303,505.6,1716,489,2.4483,88268
-119.38,37.37,29,3711,666.9,1609,553,4.7045,97967
-117.22,33.88,43,1929,692.5,2040,725,1.6155,63579
-118.48,34.15,28,2150,509.2,1335,427,1.6786,131836
-121.99,34.47,37,2809,567.8,1267,623,3.2894,330029
-118.12,34.04,34,3347,600.8,1887,570,2.9545,91751
-120.3,37.37,24,3010,690.0,1576,652,6.7834,500001
-122.52,40.74,35,1068,191.0,780,219,3.4376,86239
-119.69,34.29,41,1869,397.3,1085,371,2.1331,174367
-118.14,34.01,28,1783,463.1,1223,407,2.8479,109085
-120.43,37.13,35,1391,269.3,764,231,2.3908,101258
-122.22,37.98,33,1073,236.1,315,199,3.5461,202414
-117.2,33.89,8,3345,596.7,2055,544,4.5317,160711
-120.82,36.31,36,2177,339.6,1666,393,4.6308,260199
-122.18,37.52,15,937,209.6,500,204,3.9632,346848
-118.66,33.99,25,12319,1638.6,5160,1833,6.8745,253529
-119.17,34.01,45,1807,557.9,1523,423,1.8535,72749
-117.15,32.8,43,2751,503.1,2054,529,10.0407,312167
-117.24,33.8,14,6275,991.9,4355,874,4.5128,160715
-116.82,32.77,7,2753,433.8,2346,443,3.3682,92357
-116.99,33.76,28,1173,263.8,507,244,1.9154,127620
-121.86,37.7,35,1721,428.9,1059,398,2.8717,183146
-118.0,33.0,49,1263,186.3,395,216,8.0265,286768
-118.38,34.08,30,585,171.7,585,162,2.7398,105367
-120.21,37.75,20,3885,663.5,1843,626,3.406,228263
-118.19,34.21,15,7489,1284.8,4156,1133,2.7811,177856
-121.51,37.63,19,639,155.6,775,144,2.0784,89392
-118.27,34.01,14,3597,629.6,2230,566,3.9166,120243
-118.54,34.08,39,1718,378.4,1060,330,5.6983,500001
-121.93,35.7,33,1347,260.0,669,208,2.7945,101762
-118.03,33.89,40,623,170.8,556,171,3.6234,155079
-117.98,33.8,23,3240,898.3,1333,644,3.3987,348018
-123.63,38.68,52,6036,1199.7,2325,1078,2.442,241659
-122.54,38.42,31,2440,604.6,924,680,4.0124,209598
-117.74,33.93,13,1592,397.7,864,317,2.8651,80894
-117.07,33.08,29,916,171.6,793,159,2.2978,64674
-122.07,37.84,19,2052,487.6,1186,529,2.4077,89903
-117.37,33.8,25,1926,329.0,447,300,6.7039,241897
-122.4,38.07,14,6162,815.1,2915,739,7.4301,359363
-117.11,32.78,14,2067,705.0,1331,599,2.6882,179257
-117.47,33.77,42,4249,915.3,2061,873,5.241,246560
-117.95,33.96,28,2,32.9,140,32,1.6578,55738
-122.08,37.49,51,912,168.2,627,220,4.5221,500001
-117.37,33.94,34,2721,461.6,1049,414,7.2904,231261
-121.01,34.42,34,2496,454.3,1474,457,3.2158,293316
-118.32,37.77,38,1670,330.1,1342,315,1.2825,47852
-122.71,39.67,33,1034,262.3,818,218,3.3221,215283
-118.37,34.04,24,3102,531.2,2409,598,8.7855,323265
-121.34,34.86,40,3121,599.2,1300,520,8.7015,500001
-114.92,32.54,16,1596,440.9,1360,465,1.9424,88406
-122.07,37.77,33,2268,397.8,1658,413,5.635,120670
-121.3,38.62,21,1467,355.4,847,379,1.3149,41438
-122.35,38.73,22,2351,469.6,1593,549,5.3696,227631
-118.33,37.51,42,1349,363.5,678,269,0.9397,47291
-119.07,37.34,45,474,128.9,580,155,1.3317,67468
-122.13,38.07,48,377,109.4,388,145,3.6537,240608
-121.88,37.99,16,2541,623.1,1459,562,3.4125,74777
-117.03,32.75,15,1228,312.3,571,287,2.8707,199427
-119.06,34.04,35,1358,316.3,825,312,2.6232,166844
-118.06,34.22,16,2933,450.0,1110,359,4.0186,159032
-118.13,34.4,14,973,177.3,506,110,2.1308,62073
-117.24,33.82,46,626,184.1,518,117,1.5308,70503
-117.81,33.68,36,1227,353.9,804,311,2.67,101198
-120.28,37.41,21,1896,273.4,786,277,8.2788,219530
-117.14,33.97,18,1419,308.7,894,283,0.876,43761
-118.26,34.26,52,342,159.6,300,110,2.393,209626
-118.3,34.06,25,9810,1608.2,5009,1501,4.5166,348063
-117.0,32.78,18,2896,541.0,974,404,5.0481,260556
-122.7,39.28,43,2583,462.2,1408,402,4.8402,228042
-118.0,34.01,37,5755,1810.7,2311,1414,4.0089,200747
-116.9,32.82,14,2935,521.3,1414,486,3.63,164041
-121.66,37.34,16,2283,536.5,1429,572,3.4254,233385
-118.04,33.93,7,1741,556.2,1537,471,4.3616,161459
-122.67,39.6,33,1191,249.5,530,234,3.0239,275675
-118.02,34.25,28,767,113.6,936,66,2.3787,34302
-118.07,33.78,33,2585,650.9,1589,532,4.3416,450851
-118.01,34.06,34,2228,435.9,1469,487,2.544,165217
-118.29,33.56,35,1425,338.4,865,287,4.3463,280223
-118.53,37.22,24,867,201.9,384,157,3.0749,124822
-117.77,33.98,39,174,51.7,3,1,3.534,147081
-117.99,33.99,6,3457,825.0,1901,851,1.5344,69124
-121.82,37.64,36,3052,535.9,1219,491,4.1971,243386
-117.88,33.84,15,2314,381.3,1888,393,3.6371,115211
-117.79,34.03,27,1778,342.9,489,312,6.5381,237668
-118.25,34.33,17,2248,529.2,1479,527,1.5601,81853
-121.8,37.37,41,622,198.3,392,218,2.6731,406293
-122.67,38.06,52,3010,436.4,1018,406,6.7618,500001
-119.0,37.59,34,2084,361.2,1409,325,2.195,103090
-118.64,37.45,17,6606,1100.1,2594,1111,3.9622,176206
-122.15,37.48,52,1039,301.7,727,273,2.05,111631
-121.77,38.35,52,2175,510.5,1088,423,2.3699,98824
-118.38,34.4,16,3667,488.7,1889,485,3.8724,100488
-119.27,37.23,28,3218,553.4,1444,547,5.8637,175396
-123.34,39.59,24,3555,548.7,2319,589,4.6162,167163
-122.38,38.07,35,2293,386.2,1705,469,6.4427,356785
-122.11,37.72,34,3312,577.3,1821,511,4.0526,193837
-122.05,38.18,31,1876,338.8,734,341,2.3275,150854
-122.49,39.37,35,1392,344.6,933,318,3.1476,154096
-122.12,38.63,8,3382,847.6,1664,662,2.6798,63023
-117.1,32.91,23,3985,1087.2,2630,829,3.2522,211321
-118.4,35.42,32,544,87.3,338,76,3.5305,130987
-119.73,34.19,26,2784,425.1,1015,380,5.4806,306628
-116.93,32.74,42,621,360.0,950,286,0.9035,63937
-122.46,38.83,29,2569,503.7,975,551,2.7542,115595
-117.25,33.59,13,95,67.8,60,31,3.4653,100291
-122.43,40.36,21,2237,384.4,1242,435,3.2225,127237
-120.47,34.14,28,2831,649.8,1999,565,2.1712,147333
-118.34,34.04,6,3297,803.7,2347,850,4.8147,181276
-118.13,34.08,42,4101,643.0,1438,562,5.2913,157394
-122.25,40.98,14,2019,492.4,831,358,2.4653,101860
-121.81,37.71,49,1448,276.2,396,291,2.8989,257253
-122.04,37.5,45,1734,310.5,836,343,4.6328,379483
-118.38,34.04,47,2834,933.8,1900,919,2.527,222288
-117.19,33.78,25,2459,396.9,1321,407,3.8686,224907
-118.46,34.23,23,1241,205.1,661,207,3.9959,238548
-118.88,35.23,39,2134,342.6,1640,335,3.2313,215988
-119.04,34.06,31,2612,449.9,1687,606,5.7987,500001
-117.83,33.0,18,3513,669.2,1385,631,8.5968,500001
-122.23,37.77,16,2423,505.0,1430,391,1.5456,68391
-116.91,32.77,44,4862,876.3,1435,781,5.3877,352692
-119.13,37.13,37,7803,987.2,4658,724,3.7607,290391
-116.96,33.0,36,1014,229.5,831,223,3.5775,176108
-117.05,33.65,37,1688,377.0,1000,403,2.4001,128995
-123.39,40.06,14,2959,373.0,1416,360,4.871,208500
-122.26,38.02,43,1281,306.0,831,347,4.2502,500001
-121.93,37.84,37,1006,200.2,1105,250,4.0797,180229
-121.28,36.39,5,1121,251.7,1188,221,3.1624,91247
-117.82,32.97,16,2560,748.0,1212,614,2.6554,146543
-118.32,34.11,3,2022,296.5,702,242,11.4704,284753
-122.02,38.68,16,2621,476.6,1881,462,2.2877,58994
-118.22,34.16,38,1296,211.6,595,214,6.0472,237163
-117.77,33.48,32,907,190.6,837,230,2.7497,128395
-122.3,38.01,43,380,147.9,3,63,1.1513,81466
-122.04,38.53,30,1098,233.8,469,201,2.7964,181464
-116.99,33.57,13,2388,452.9,781,377,5.2508,113927
-121.94,37.22,37,2567,790.3,1753,792,2.4366,177140
-121.0,37.55,22,979,216.5,641,206,2.951,149096
-121.11,37.55,31,2304,576.7,1546,445,3.0552,227558
-117.29,33.97,27,2187,410.9,781,365,3.5858,111120
-117.89,33.77,37,1932,530.3,2092,580,1.6886,103644
-118.11,33.96,44,1592,379.5,1178,394,2.0774,225831
-118.34,34.09,10,1337,245.4,580,188,3.5884,218637
-118.22,33.88,46,2993,441.0,1987,495,7.4627,269746
-120.68,34.92,20,1720,291.6,1006,295,6.5194,122406
-118.21,33.97,23,2066,701.4,1270,636,4.2758,205025
-118.68,34.02,22,3231,639.3,1078,578,10.0455,500001
-121.33,34.48,34,1173,323.8,776,260,2.1503,118194
-117.91,33.98,28,1479,212.3,1007,230,7.0602,266735
-122.1,38.14,12,975,253.2,488,257,2.0761,199516
-117.66,33.94,21,2475,636.8,1677,632,2.9361,122248
-117.05,33.85,37,1921,405.0,1435,391,1.4721,56869
-117.86,33.93,26,1440,227.7,610,222,3.8443,170922
-118.09,34.1,29,869,223.6,554,138,2.1439,178498
-118.38,34.88,47,1739,370.1,650,320,2.8426,191195
-121.16,35.87,6,6141,859.5,2892,961,4.7797,364374
-118.39,34.44,21,1727,246.4,1301,210,2.3753,67122
-119.22,34.0,28,1661,321.9,1184,380,8.0133,500001
