X1 house age,X2 distance to the nearest MRT station,X3 number of convenience stores,X4 latitude,X5 longitude,Y6 house price of unit area
34.9,2220.751,0,24.95416,121.5425,28.3
8.4,1362.2249,5,24.9427,121.53702,41.2
6.6,1414.5958,4,24.97943,121.53788,42.4
13.7,233.0419,5,24.96744,121.53259,37.6
4.0,252.939,7,24.98209,121.53758,58.1
12.6,2267.6549,3,24.94296,121.53598,20.2
13.1,392.1483,5,24.97814,121.54281,54.6
21.0,1379.4454,2,24.97872,121.51309,28.5
16.9,1375.3197,1,24.97348,121.54022,31.8
38.7,2020.0859,8,24.96723,121.52885,22.7
31.0,322.2267,8,24.98103,121.54077,43.1
34.0,507.5693,5,24.9704,121.53712,37.4
10.5,364.5768,5,24.97103,121.56212,45.7
17.0,1622.4735,0,24.95722,121.52902,39.2
1.2,4033.385,0,24.97736,121.504,31.8
16.3,467.3704,1,24.9769,121.54058,36.1
30.8,1246.1376,3,24.98197,121.53264,27.0
31.0,2156.0111,0,24.95599,121.51541,30.1
17.4,476.6022,4,24.9737,121.53804,39.1
27.7,513.3025,8,24.96777,121.53853,44.7
3.7,132.6231,5,24.9743,121.54728,49.4
6.4,279.7624,6,24.9757,121.54374,44.2
32.1,885.6901,1,24.95641,121.53692,24.3
36.1,262.8486,7,24.97758,121.54073,41.7
16.5,1425.7907,1,24.9812,121.51483,45.1
4.4,556.3312,5,24.9489,121.53941,36.2
2.6,1361.6427,0,24.95434,121.5162,21.7
1.0,1538.7653,6,24.96313,121.5305,33.7
17.2,269.7128,4,24.96798,121.54422,48.7
31.1,127.9921,9,24.99099,121.53951,45.0
18.5,2466.9882,1,24.94098,121.51136,29.1
16.9,2065.5806,2,24.94869,121.54052,24.6
2.5,679.1093,5,24.97752,121.51317,48.9
0.0,442.9306,3,24.9721,121.53115,51.8
12.2,1998.4743,0,24.95791,121.504,27.5
15.4,53.3476,9,24.99153,121.54858,117.5
10.0,529.6546,6,24.97456,121.53289,45.2
36.2,298.6082,7,24.96615,121.51452,37.3
13.9,218.5419,4,24.97166,121.54773,38.6
31.1,91.2466,8,24.98781,121.54448,46.1
16.6,273.1898,4,24.9694,121.54205,45.8
31.3,3652.1835,0,24.97471,121.51539,24.7
20.7,374.8462,0,24.96708,121.53751,34.7
12.6,165.4259,7,24.98153,121.54023,42.9
5.8,154.7162,6,24.98068,121.54761,41.2
16.0,191.2973,7,24.98323,121.53741,52.0
4.2,313.3305,1,24.97822,121.53849,41.5
5.2,326.5746,5,24.98373,121.53888,48.4
0.3,4637.0223,0,24.93235,121.504,15.8
2.3,59.1214,5,24.97342,121.55098,46.8
36.7,769.155,7,24.96459,121.53959,21.4
12.1,671.0736,8,24.97369,121.54307,30.3
37.4,1427.3426,4,24.97546,121.51417,41.8
33.3,467.956,1,24.97752,121.54337,41.0
36.5,3929.5359,1,24.95254,121.504,12.9
13.3,247.9248,5,24.96614,121.54662,60.2
9.2,1304.1953,0,24.96357,121.5357,33.5
18.2,180.6466,1,24.98264,121.5448,38.4
18.0,147.0456,8,24.98178,121.5451,45.2
10.8,484.1926,3,24.97583,121.54084,37.1
16.7,4177.8103,0,24.96346,121.51286,24.6
16.7,1339.7567,0,24.96182,121.53071,16.1
13.7,1651.8234,1,24.96546,121.53099,28.8
5.3,113.0796,8,24.97676,121.54893,45.5
15.0,390.0279,8,24.9749,121.53674,46.8
