fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
8.4,0.35,0.23,1.5,0.054,7.0,23.0,0.997,3.35,0.52,9.6
7.9,0.72,0.02,1.9,0.064,10.0,34.0,0.996,3.3,0.55,9.6
6.2,0.59,0.13,2.3,0.077,7.0,60.0,0.994,3.48,0.61,11.0
8.9,0.44,0.26,2.1,0.083,9.0,50.0,0.998,3.18,0.62,9.1
8.2,0.59,0.05,2.7,0.082,12.0,21.0,0.997,3.29,0.58,9.7
8.2,0.59,0.3,2.3,0.088,5.0,16.0,1.0,3.36,0.84,9.4
9.2,0.51,0.29,1.6,0.07,9.0,26.0,0.997,3.27,0.7,9.5
8.1,0.52,0.29,2.0,0.075,23.0,83.0,0.997,3.4,0.57,10.1
8.9,0.71,0.05,1.7,0.079,24.0,35.0,0.997,3.41,0.58,10.4
10.4,0.57,0.42,2.3,0.092,7.0,14.0,0.999,3.35,0.7,9.5
6.7,0.5,0.25,2.0,0.092,11.0,69.0,0.996,3.43,0.8,10.0
10.2,0.87,0.1,2.3,0.078,11.0,28.0,0.997,3.29,0.51,10.5
6.3,0.31,0.08,2.8,0.088,10.0,57.0,0.99113,3.22,0.73,10.8
8.2,0.42,0.14,1.9,0.091,11.0,27.0,0.995,3.28,0.61,11.8
8.0,0.63,0.27,2.3,0.067,21.0,144.0,1.0,3.42,0.59,9.5
9.6,0.41,0.25,2.5,0.096,24.0,46.0,0.999,3.24,0.64,9.5
6.1,0.76,0.03,2.8,0.066,12.0,31.0,0.995,3.49,0.61,11.0
12.0,0.35,0.52,2.4,0.074,5.0,10.0,0.999,3.21,0.46,9.6
11.1,0.66,0.12,2.2,0.061,14.0,34.0,0.997,3.29,0.57,11.4
7.3,0.33,0.44,2.6,0.08,24.0,118.0,0.996,3.29,0.67,9.7
7.1,0.35,0.13,2.7,0.114,11.0,30.0,0.996,3.16,0.64,9.4
9.3,0.44,0.23,1.8,0.09,11.0,29.0,1.0,3.39,0.7,9.2
10.4,0.38,0.62,1.7,0.423,2.0,10.0,0.997,2.93,0.51,9.4
11.8,0.58,0.42,2.0,0.075,10.0,28.0,0.998,3.2,0.66,9.9
7.0,0.73,0.24,2.4,0.071,27.0,48.0,0.997,3.33,0.61,9.7
8.8,0.5,0.23,2.3,0.051,11.0,47.0,0.996,3.32,0.65,12.9
7.3,0.41,0.41,2.0,0.096,19.0,35.0,0.996,3.45,0.52,10.4
11.0,0.36,0.41,1.7,0.053,7.0,14.0,0.996,3.13,0.48,11.4
6.9,0.81,0.02,6.5,0.093,16.0,57.0,0.998,3.41,0.52,9.6
11.3,0.51,0.5,5.3,0.098,19.0,76.0,0.998,3.18,0.51,10.9
